election_code,election_date,territory_code,territory_name,territory_type,organ,state,party,party_full,party_type,votes,votes_pct,mandates,presidents,absolute_majorities,electoral_circles_compete
AUT25,2025-10-12,010125,Travassô e Óis da Ribeira,Freguesia,CM,Resultados Apurados,PCP-PEV, ,Coalition,17,1.19,NA,NA,NA,NA
AUT25,2025-10-12,010126,"Trofa, Segadães e Lamas do Vouga",Freguesia,CM,Resultados Apurados,PPD/PSD.MPT, ,Coalition,1315,51.07,NA,NA,NA,NA
AUT25,2025-10-12,010126,"Trofa, Segadães e Lamas do Vouga",Freguesia,CM,Resultados Apurados,CDS-PP, ,PoliticalParty,484,18.8,NA,NA,NA,NA
AUT25,2025-10-12,010126,"Trofa, Segadães e Lamas do Vouga",Freguesia,CM,Resultados Apurados,PS, ,PoliticalParty,435,16.89,NA,NA,NA,NA
AUT25,2025-10-12,010126,"Trofa, Segadães e Lamas do Vouga",Freguesia,CM,Resultados Apurados,CH, ,PoliticalParty,179,6.95,NA,NA,NA,NA
AUT25,2025-10-12,010126,"Trofa, Segadães e Lamas do Vouga",Freguesia,CM,Resultados Apurados,PCP-PEV, ,Coalition,56,2.17,NA,NA,NA,NA
AUT25,2025-10-12,010126,"Trofa, Segadães e Lamas do Vouga",Freguesia,CM,Resultados Apurados,B.E., ,PoliticalParty,18,0.7,NA,NA,NA,NA
AUT25,2025-10-12,010127,Préstimo e Macieira de Alcoba,Freguesia,CM,Resultados Apurados,PPD/PSD.MPT, ,Coalition,261,49.25,NA,NA,NA,NA
AUT25,2025-10-12,010127,Préstimo e Macieira de Alcoba,Freguesia,CM,Resultados Apurados,CDS-PP, ,PoliticalParty,166,31.32,NA,NA,NA,NA
AUT25,2025-10-12,010127,Préstimo e Macieira de Alcoba,Freguesia,CM,Resultados Apurados,PS, ,PoliticalParty,41,7.74,NA,NA,NA,NA
AUT25,2025-10-12,010127,Préstimo e Macieira de Alcoba,Freguesia,CM,Resultados Apurados,CH, ,PoliticalParty,31,5.85,NA,NA,NA,NA
AUT25,2025-10-12,010127,Préstimo e Macieira de Alcoba,Freguesia,CM,Resultados Apurados,B.E., ,PoliticalParty,3,0.57,NA,NA,NA,NA
AUT25,2025-10-12,010127,Préstimo e Macieira de Alcoba,Freguesia,CM,Resultados Apurados,PCP-PEV, ,Coalition,2,0.38,NA,NA,NA,NA
AUT25,2025-10-12,010128,Agadão,Freguesia,CM,Resultados Apurados,PPD/PSD.MPT, ,Coalition,135,60.81,NA,NA,NA,NA
AUT25,2025-10-12,010128,Agadão,Freguesia,CM,Resultados Apurados,PS, ,PoliticalParty,58,26.13,NA,NA,NA,NA
AUT25,2025-10-12,010128,Agadão,Freguesia,CM,Resultados Apurados,CH, ,PoliticalParty,17,7.66,NA,NA,NA,NA
AUT25,2025-10-12,010128,Agadão,Freguesia,CM,Resultados Apurados,CDS-PP, ,PoliticalParty,10,4.5,NA,NA,NA,NA
AUT25,2025-10-12,010128,Agadão,Freguesia,CM,Resultados Apurados,PCP-PEV, ,Coalition,1,0.45,NA,NA,NA,NA
AUT25,2025-10-12,010128,Agadão,Freguesia,CM,Resultados Apurados,B.E., ,PoliticalParty,0,0,NA,NA,NA,NA
