election_code,election_date,territory_code,territory_name,territory_type,organ,subscribers,votes,voters_pct,abstention_pct,blank_votes,blank_pct,null_votes,null_pct,mandates_assigned,mandates_unassigned,mandates_total,state
AUT25,2025-10-12,020104,São João de Negrilhos,Freguesia,CM,1180,797,67.54,32.459999999999994,5,0.63,8,1,NA,NA,NA,Resultados Apurados
AUT25,2025-10-12,020107,Aljustrel,Freguesia,CM,4399,3120,70.93,29.069999999999993,51,1.63,33,1.06,NA,NA,NA,Resultados Apurados
AUT25,2025-10-12,020108,Rio de Moinhos,Freguesia,CM,630,437,69.37,30.629999999999995,2,0.46,4,0.92,NA,NA,NA,Resultados Apurados
AUT25,2025-10-12,020203,Rosário,Freguesia,CM,545,370,67.89,32.11,4,1.08,6,1.62,NA,NA,NA,Resultados Apurados
AUT25,2025-10-12,020205,Santa Cruz,Freguesia,CM,461,340,73.75,26.25,4,1.18,3,0.88,NA,NA,NA,Resultados Apurados
AUT25,2025-10-12,020206,São Barnabé,Freguesia,CM,339,252,74.34,25.659999999999997,7,2.78,5,1.98,NA,NA,NA,Resultados Apurados
AUT25,2025-10-12,020208,Aldeia dos Fernandes,Freguesia,CM,506,403,79.64,20.36,2,0.5,8,1.99,NA,NA,NA,Resultados Apurados
AUT25,2025-10-12,020211,Almodôvar,Freguesia,CM,3154,2348,74.45,25.549999999999997,25,1.06,26,1.11,NA,NA,NA,Resultados Apurados
AUT25,2025-10-12,020212,Gomes Aires,Freguesia,CM,286,221,77.27,22.730000000000004,5,2.26,3,1.36,NA,NA,NA,Resultados Apurados
AUT25,2025-10-12,020213,Santa Clara-a-Nova,Freguesia,CM,412,318,77.18,22.819999999999993,6,1.89,5,1.57,NA,NA,NA,Resultados Apurados
AUT25,2025-10-12,020214,Senhora da Graça dos Padrões,Freguesia,CM,272,200,73.53,26.47,2,1,2,1,NA,NA,NA,Resultados Apurados
AUT25,2025-10-12,020301,Alvito,Freguesia,CM,979,740,75.59,24.409999999999997,8,1.08,13,1.76,NA,NA,NA,Resultados Apurados
AUT25,2025-10-12,020302,Vila Nova da Baronia,Freguesia,CM,931,700,75.19,24.810000000000002,11,1.57,11,1.57,NA,NA,NA,Resultados Apurados
AUT25,2025-10-12,020401,Barrancos,Freguesia,CM,1261,968,76.76,23.239999999999995,33,3.41,12,1.24,NA,NA,NA,Resultados Apurados
AUT25,2025-10-12,020502,Baleizão,Freguesia,CM,715,482,67.41,32.59,7,1.45,6,1.24,NA,NA,NA,Resultados Apurados
AUT25,2025-10-12,020503,Beringel,Freguesia,CM,1095,728,66.48,33.519999999999996,4,0.55,10,1.37,NA,NA,NA,Resultados Apurados
AUT25,2025-10-12,020504,Cabeça Gorda,Freguesia,CM,1119,771,68.9,31.099999999999994,9,1.17,8,1.04,NA,NA,NA,Resultados Apurados
AUT25,2025-10-12,020506,Nossa Senhora das Neves,Freguesia,CM,1318,828,62.82,37.18,9,1.09,11,1.33,NA,NA,NA,Resultados Apurados
AUT25,2025-10-12,020510,Santa Clara de Louredo,Freguesia,CM,533,431,80.86,19.14,1,0.23,4,0.93,NA,NA,NA,Resultados Apurados
AUT25,2025-10-12,020516,São Matias,Freguesia,CM,425,334,78.59,21.409999999999997,7,2.1,4,1.2,NA,NA,NA,Resultados Apurados
AUT25,2025-10-12,020519,Albernoa e Trindade,Freguesia,CM,727,539,74.14,25.86,7,1.3,11,2.04,NA,NA,NA,Resultados Apurados
AUT25,2025-10-12,020520,Beja (Salvador e Santa Maria da Feira),Freguesia,CM,8883,5200,58.54,41.46,37,0.71,50,0.96,NA,NA,NA,Resultados Apurados
AUT25,2025-10-12,020521,Beja (Santiago Maior e São João Baptista),Freguesia,CM,11278,7055,62.56,37.44,64,0.91,53,0.75,NA,NA,NA,Resultados Apurados
AUT25,2025-10-12,020522,Salvada e Quintos,Freguesia,CM,1037,733,70.68,29.319999999999993,5,0.68,4,0.55,NA,NA,NA,Resultados Apurados
AUT25,2025-10-12,020523,Santa Vitória e Mombeja,Freguesia,CM,730,520,71.23,28.769999999999996,6,1.15,0,0,NA,NA,NA,Resultados Apurados
AUT25,2025-10-12,020524,Trigaches e São Brissos,Freguesia,CM,485,338,69.69,30.310000000000002,5,1.48,4,1.18,NA,NA,NA,Resultados Apurados
AUT25,2025-10-12,020603,Entradas,Freguesia,CM,539,391,72.54,27.459999999999994,5,1.28,4,1.02,NA,NA,NA,Resultados Apurados
AUT25,2025-10-12,020604,Santa Bárbara de Padrões,Freguesia,CM,728,519,71.29,28.709999999999994,10,1.93,6,1.16,NA,NA,NA,Resultados Apurados
AUT25,2025-10-12,020605,São Marcos da Ataboeira,Freguesia,CM,261,206,78.93,21.069999999999993,0,0,0,0,NA,NA,NA,Resultados Apurados
AUT25,2025-10-12,020606,Castro Verde e Casével,Freguesia,CM,4475,2991,66.84,33.16,55,1.84,25,0.84,NA,NA,NA,Resultados Apurados
AUT25,2025-10-12,020701,Cuba,Freguesia,CM,2535,1876,74,26,23,1.23,25,1.33,NA,NA,NA,Resultados Apurados
AUT25,2025-10-12,020702,Faro do Alentejo,Freguesia,CM,432,333,77.08,22.92,5,1.5,8,2.4,NA,NA,NA,Resultados Apurados
