election_code,election_date,territory_code,territory_name,territory_type,organ,state,party,party_full,party_type,votes,votes_pct,mandates,presidents,absolute_majorities,electoral_circles_compete
AUT25,2025-10-12,081314,Tunes,Freguesia,AF,Resultados Apurados,PS, ,PoliticalParty,111,7.86,0,0,NA,NA
AUT25,2025-10-12,081401,Cachopo,Freguesia,AF,Resultados Apurados,PPD/PSD, ,PoliticalParty,203,62.08,5,1,NA,NA
AUT25,2025-10-12,081401,Cachopo,Freguesia,AF,Resultados Apurados,PS, ,PoliticalParty,94,28.75,2,0,NA,NA
AUT25,2025-10-12,081401,Cachopo,Freguesia,AF,Resultados Apurados,PCP-PEV, ,Coalition,15,4.59,0,0,NA,NA
AUT25,2025-10-12,081404,Santa Catarina da Fonte do Bispo,Freguesia,AF,Resultados Apurados,PS, ,PoliticalParty,475,54.6,6,1,NA,NA
AUT25,2025-10-12,081404,Santa Catarina da Fonte do Bispo,Freguesia,AF,Resultados Apurados,PPD/PSD, ,PoliticalParty,299,34.37,3,0,NA,NA
AUT25,2025-10-12,081404,Santa Catarina da Fonte do Bispo,Freguesia,AF,Resultados Apurados,CH, ,PoliticalParty,51,5.86,0,0,NA,NA
AUT25,2025-10-12,081404,Santa Catarina da Fonte do Bispo,Freguesia,AF,Resultados Apurados,PCP-PEV, ,Coalition,19,2.18,0,0,NA,NA
AUT25,2025-10-12,081408,Santa Luzia,Freguesia,AF,Resultados Apurados,PS, ,PoliticalParty,407,48.92,5,1,NA,NA
AUT25,2025-10-12,081408,Santa Luzia,Freguesia,AF,Resultados Apurados,PPD/PSD, ,PoliticalParty,216,25.96,2,0,NA,NA
AUT25,2025-10-12,081408,Santa Luzia,Freguesia,AF,Resultados Apurados,CH, ,PoliticalParty,171,20.55,2,0,NA,NA
AUT25,2025-10-12,081408,Santa Luzia,Freguesia,AF,Resultados Apurados,PCP-PEV, ,Coalition,13,1.56,0,0,NA,NA
AUT25,2025-10-12,081412,Tavira (Santa Maria e Santiago),Freguesia,AF,Resultados Apurados,PS, ,PoliticalParty,4059,55.57,8,1,NA,NA
AUT25,2025-10-12,081412,Tavira (Santa Maria e Santiago),Freguesia,AF,Resultados Apurados,PPD/PSD, ,PoliticalParty,2193,30.02,4,0,NA,NA
AUT25,2025-10-12,081412,Tavira (Santa Maria e Santiago),Freguesia,AF,Resultados Apurados,CH, ,PoliticalParty,666,9.12,1,0,NA,NA
AUT25,2025-10-12,081412,Tavira (Santa Maria e Santiago),Freguesia,AF,Resultados Apurados,PCP-PEV, ,Coalition,201,2.75,0,0,NA,NA
AUT25,2025-10-12,081413,Cabanas de Tavira,Freguesia,AF,Resultados Apurados,C.R., ,GroupCitizen,342,47.24,4,1,NA,NA
AUT25,2025-10-12,081413,Cabanas de Tavira,Freguesia,AF,Resultados Apurados,PS, ,PoliticalParty,288,39.78,4,0,NA,NA
AUT25,2025-10-12,081413,Cabanas de Tavira,Freguesia,AF,Resultados Apurados,CH, ,PoliticalParty,73,10.08,1,0,NA,NA
AUT25,2025-10-12,081414,Conceição,Freguesia,AF,Resultados Apurados,MOVE +, ,GroupCitizen,406,43.99,4,1,NA,NA
AUT25,2025-10-12,081414,Conceição,Freguesia,AF,Resultados Apurados,PS, ,PoliticalParty,249,26.98,3,0,NA,NA
AUT25,2025-10-12,081414,Conceição,Freguesia,AF,Resultados Apurados,PPD/PSD, ,PoliticalParty,136,14.73,1,0,NA,NA
AUT25,2025-10-12,081414,Conceição,Freguesia,AF,Resultados Apurados,CH, ,PoliticalParty,83,8.99,1,0,NA,NA
AUT25,2025-10-12,081414,Conceição,Freguesia,AF,Resultados Apurados,PCP-PEV, ,Coalition,20,2.17,0,0,NA,NA
AUT25,2025-10-12,081415,Luz de Tavira,Freguesia,AF,Resultados Apurados,PPD/PSD, ,PoliticalParty,751,48.73,5,1,NA,NA
AUT25,2025-10-12,081415,Luz de Tavira,Freguesia,AF,Resultados Apurados,PS, ,PoliticalParty,646,41.92,4,0,NA,NA
AUT25,2025-10-12,081415,Luz de Tavira,Freguesia,AF,Resultados Apurados,PCP-PEV, ,Coalition,64,4.15,0,0,NA,NA
AUT25,2025-10-12,081416,Santo Estêvão,Freguesia,AF,Resultados Apurados,PS, ,PoliticalParty,339,52.48,5,1,NA,NA
AUT25,2025-10-12,081416,Santo Estêvão,Freguesia,AF,Resultados Apurados,PPD/PSD, ,PoliticalParty,235,36.38,4,0,NA,NA
AUT25,2025-10-12,081416,Santo Estêvão,Freguesia,AF,Resultados Apurados,CH, ,PoliticalParty,44,6.81,0,0,NA,NA
AUT25,2025-10-12,081416,Santo Estêvão,Freguesia,AF,Resultados Apurados,PCP-PEV, ,Coalition,19,2.94,0,0,NA,NA
AUT25,2025-10-12,081501,Barão de São Miguel,Freguesia,AF,Resultados Apurados,LUP, ,GroupCitizen,150,66.96,5,1,NA,NA
AUT25,2025-10-12,081501,Barão de São Miguel,Freguesia,AF,Resultados Apurados,CH, ,PoliticalParty,32,14.29,1,0,NA,NA
AUT25,2025-10-12,081501,Barão de São Miguel,Freguesia,AF,Resultados Apurados,PCP-PEV, ,Coalition,27,12.05,1,0,NA,NA
AUT25,2025-10-12,081502,Budens,Freguesia,AF,Resultados Apurados,PS, ,PoliticalParty,278,36.15,4,1,NA,NA
AUT25,2025-10-12,081502,Budens,Freguesia,AF,Resultados Apurados,PPD/PSD, ,PoliticalParty,259,33.68,3,0,NA,NA
AUT25,2025-10-12,081502,Budens,Freguesia,AF,Resultados Apurados,CH, ,PoliticalParty,164,21.33,2,0,NA,NA
AUT25,2025-10-12,081502,Budens,Freguesia,AF,Resultados Apurados,PCP-PEV, ,Coalition,48,6.24,0,0,NA,NA
AUT25,2025-10-12,081504,Sagres,Freguesia,AF,Resultados Apurados,PS, ,PoliticalParty,354,36.38,4,1,NA,NA
AUT25,2025-10-12,081504,Sagres,Freguesia,AF,Resultados Apurados,JMS, ,GroupCitizen,246,25.28,2,0,NA,NA
AUT25,2025-10-12,081504,Sagres,Freguesia,AF,Resultados Apurados,PPD/PSD, ,PoliticalParty,218,22.4,2,0,NA,NA
AUT25,2025-10-12,081504,Sagres,Freguesia,AF,Resultados Apurados,CH, ,PoliticalParty,95,9.76,1,0,NA,NA
AUT25,2025-10-12,081504,Sagres,Freguesia,AF,Resultados Apurados,PCP-PEV, ,Coalition,42,4.32,0,0,NA,NA
AUT25,2025-10-12,081506,Vila do Bispo e Raposeira,Freguesia,AF,Resultados Apurados,MOVER, ,GroupCitizen,276,36.32,4,1,NA,NA
AUT25,2025-10-12,081506,Vila do Bispo e Raposeira,Freguesia,AF,Resultados Apurados,PS, ,PoliticalParty,248,32.63,3,0,NA,NA
AUT25,2025-10-12,081506,Vila do Bispo e Raposeira,Freguesia,AF,Resultados Apurados,PPD/PSD, ,PoliticalParty,167,21.97,2,0,NA,NA
AUT25,2025-10-12,081506,Vila do Bispo e Raposeira,Freguesia,AF,Resultados Apurados,CH, ,PoliticalParty,45,5.92,0,0,NA,NA
AUT25,2025-10-12,081506,Vila do Bispo e Raposeira,Freguesia,AF,Resultados Apurados,PCP-PEV, ,Coalition,9,1.18,0,0,NA,NA
AUT25,2025-10-12,081601,Vila Nova de Cacela,Freguesia,AF,Resultados Apurados,PS, ,PoliticalParty,829,42.12,5,1,NA,NA
AUT25,2025-10-12,081601,Vila Nova de Cacela,Freguesia,AF,Resultados Apurados,PPD/PSD.CDS-PP, ,Coalition,458,23.27,2,0,NA,NA
AUT25,2025-10-12,081601,Vila Nova de Cacela,Freguesia,AF,Resultados Apurados,R.I.R., ,PoliticalParty,255,12.96,1,0,NA,NA
AUT25,2025-10-12,081601,Vila Nova de Cacela,Freguesia,AF,Resultados Apurados,CH, ,PoliticalParty,253,12.86,1,0,NA,NA
AUT25,2025-10-12,081601,Vila Nova de Cacela,Freguesia,AF,Resultados Apurados,PCP-PEV, ,Coalition,99,5.03,0,0,NA,NA
AUT25,2025-10-12,081602,Vila Real de Santo António,Freguesia,AF,Resultados Apurados,PPD/PSD.CDS-PP, ,Coalition,2372,40.79,6,1,NA,NA
AUT25,2025-10-12,081602,Vila Real de Santo António,Freguesia,AF,Resultados Apurados,PS, ,PoliticalParty,2088,35.91,5,0,NA,NA
AUT25,2025-10-12,081602,Vila Real de Santo António,Freguesia,AF,Resultados Apurados,CH, ,PoliticalParty,725,12.47,1,0,NA,NA
AUT25,2025-10-12,081602,Vila Real de Santo António,Freguesia,AF,Resultados Apurados,PCP-PEV, ,Coalition,392,6.74,1,0,NA,NA
AUT25,2025-10-12,081602,Vila Real de Santo António,Freguesia,AF,Resultados Apurados,B.E., ,PoliticalParty,94,1.62,0,0,NA,NA
AUT25,2025-10-12,081603,Monte Gordo,Freguesia,AF,Resultados Apurados,PS, ,PoliticalParty,756,41.38,4,1,NA,NA
AUT25,2025-10-12,081603,Monte Gordo,Freguesia,AF,Resultados Apurados,PPD/PSD.CDS-PP, ,Coalition,588,32.18,3,0,NA,NA
AUT25,2025-10-12,081603,Monte Gordo,Freguesia,AF,Resultados Apurados,CH, ,PoliticalParty,344,18.83,2,0,NA,NA
AUT25,2025-10-12,081603,Monte Gordo,Freguesia,AF,Resultados Apurados,PCP-PEV, ,Coalition,102,5.58,0,0,NA,NA
AUT25,2025-10-12,090102,Carapito,Freguesia,AF,Resultados Apurados,UPNT, ,GroupCitizen,200,53.91,4,1,NA,NA
AUT25,2025-10-12,090102,Carapito,Freguesia,AF,Resultados Apurados,PPD/PSD, ,PoliticalParty,164,44.2,3,0,NA,NA
AUT25,2025-10-12,090103,Cortiçada,Freguesia,AF,Resultados Apurados,UPNT, ,GroupCitizen,168,53.5,4,1,NA,NA
AUT25,2025-10-12,090103,Cortiçada,Freguesia,AF,Resultados Apurados,PPD/PSD, ,PoliticalParty,140,44.59,3,0,NA,NA
AUT25,2025-10-12,090105,Dornelas,Freguesia,AF,Resultados Apurados,UPNT, ,GroupCitizen,297,69.56,5,1,NA,NA
AUT25,2025-10-12,090105,Dornelas,Freguesia,AF,Resultados Apurados,PPD/PSD, ,PoliticalParty,116,27.17,2,0,NA,NA
AUT25,2025-10-12,090106,Eirado,Freguesia,AF,Resultados Apurados,UPNT, ,GroupCitizen,134,78.36,6,1,NA,NA
AUT25,2025-10-12,090106,Eirado,Freguesia,AF,Resultados Apurados,PPD/PSD, ,PoliticalParty,33,19.3,1,0,NA,NA
AUT25,2025-10-12,090107,Forninhos,Freguesia,AF,Resultados Apurados,UPNT, ,GroupCitizen,97,54.19,4,1,NA,NA
AUT25,2025-10-12,090107,Forninhos,Freguesia,AF,Resultados Apurados,PPD/PSD, ,PoliticalParty,79,44.13,3,0,NA,NA
AUT25,2025-10-12,090109,Pena Verde,Freguesia,AF,Resultados Apurados,PPD/PSD, ,PoliticalParty,318,55.59,4,1,NA,NA
AUT25,2025-10-12,090109,Pena Verde,Freguesia,AF,Resultados Apurados,UPNT, ,GroupCitizen,234,40.91,3,0,NA,NA
AUT25,2025-10-12,090110,Pinheiro,Freguesia,AF,Resultados Apurados,PPD/PSD, ,PoliticalParty,124,54.63,4,1,NA,NA
AUT25,2025-10-12,090110,Pinheiro,Freguesia,AF,Resultados Apurados,UPNT, ,GroupCitizen,99,43.61,3,0,NA,NA
