election_code,election_date,territory_code,territory_name,territory_type,organ,subscribers,votes,voters_pct,abstention_pct,blank_votes,blank_pct,null_votes,null_pct,mandates_assigned,mandates_unassigned,mandates_total,state
AUT25,2025-10-12,010417,São Miguel do Mato,Freguesia,AM,610,516,84.59,15.409999999999997,15,2.91,5,0.97,NA,NA,NA,Resultados Apurados
AUT25,2025-10-12,010418,Tropeço,Freguesia,AM,1033,776,75.12,24.879999999999995,12,1.55,10,1.29,NA,NA,NA,Resultados Apurados
AUT25,2025-10-12,010419,Urrô,Freguesia,AM,874,639,73.11,26.89,16,2.5,6,0.94,NA,NA,NA,Resultados Apurados
AUT25,2025-10-12,010420,Várzea,Freguesia,AM,455,381,83.74,16.260000000000005,5,1.31,2,0.52,NA,NA,NA,Resultados Apurados
AUT25,2025-10-12,010421,Arouca e Burgo,Freguesia,AM,4781,3169,66.28,33.72,57,1.8,34,1.07,NA,NA,NA,Resultados Apurados
AUT25,2025-10-12,010422,Cabreiros e Albergaria da Serra,Freguesia,AM,230,149,64.78,35.22,3,2.01,4,2.68,NA,NA,NA,Resultados Apurados
AUT25,2025-10-12,010423,Canelas e Espiunca,Freguesia,AM,998,814,81.56,18.439999999999998,12,1.47,10,1.23,NA,NA,NA,Resultados Apurados
AUT25,2025-10-12,010424,Covelo de Paivó e Janarde,Freguesia,AM,183,149,81.42,18.58,4,2.68,2,1.34,NA,NA,NA,Resultados Apurados
AUT25,2025-10-12,010501,Aradas,Freguesia,AM,8388,4452,53.08,46.92,158,3.55,52,1.17,NA,NA,NA,Resultados Apurados
AUT25,2025-10-12,010502,Cacia,Freguesia,AM,6246,3450,55.24,44.76,102,2.96,33,0.96,NA,NA,NA,Resultados Apurados
AUT25,2025-10-12,010505,Esgueira,Freguesia,AM,11623,5989,51.53,48.47,190,3.17,76,1.27,NA,NA,NA,Resultados Apurados
AUT25,2025-10-12,010508,Oliveirinha,Freguesia,AM,4159,2350,56.5,43.5,84,3.57,26,1.11,NA,NA,NA,Resultados Apurados
AUT25,2025-10-12,010510,São Bernardo,Freguesia,AM,4610,2724,59.09,40.91,99,3.63,32,1.17,NA,NA,NA,Resultados Apurados
AUT25,2025-10-12,010511,São Jacinto,Freguesia,AM,820,528,64.39,35.61,17,3.22,5,0.95,NA,NA,NA,Resultados Apurados
AUT25,2025-10-12,010513,Santa Joana,Freguesia,AM,7117,4013,56.39,43.61,96,2.39,55,1.37,NA,NA,NA,Resultados Apurados
AUT25,2025-10-12,010515,Eixo e Eirol,Freguesia,AM,5432,3068,56.48,43.52,64,2.09,29,0.95,NA,NA,NA,Resultados Apurados
AUT25,2025-10-12,010516,"Requeixo, Nossa Senhora de Fátima e Nariz",Freguesia,AM,4059,2250,55.43,44.57,72,3.2,25,1.11,NA,NA,NA,Resultados Apurados
AUT25,2025-10-12,010517,Glória e Vera Cruz,Freguesia,AM,17751,9907,55.81,44.19,302,3.05,97,0.98,NA,NA,NA,Resultados Apurados
AUT25,2025-10-12,010602,Fornos,Freguesia,AM,1121,939,83.76,16.239999999999995,11,1.17,12,1.28,NA,NA,NA,Resultados Apurados
AUT25,2025-10-12,010606,Real,Freguesia,AM,1043,867,83.13,16.870000000000005,9,1.04,8,0.92,NA,NA,NA,Resultados Apurados
AUT25,2025-10-12,010607,Santa Maria de Sardoura,Freguesia,AM,2022,1646,81.4,18.599999999999994,13,0.79,18,1.09,NA,NA,NA,Resultados Apurados
AUT25,2025-10-12,010608,São Martinho de Sardoura,Freguesia,AM,1588,1357,85.45,14.549999999999997,8,0.59,10,0.74,NA,NA,NA,Resultados Apurados
AUT25,2025-10-12,010612,Bairros,Freguesia,AM,1700,1394,82,18,14,1,23,1.65,NA,NA,NA,Resultados Apurados
AUT25,2025-10-12,010613,Paraíso,Freguesia,AM,761,619,81.34,18.659999999999997,10,1.62,8,1.29,NA,NA,NA,Resultados Apurados
